NAME                             ENDPOINTS                                                AGE
kafka                            10.233.75.59:9092                                        5d16h
trisla-bc-nssmf                  10.233.102.138:8083                                      30d
trisla-bc-nssmf-metrics          10.233.102.138:8083                                      30d
trisla-besu                      10.233.75.56:30303,10.233.75.56:8546,10.233.75.56:8545   26d
trisla-decision-engine           10.233.102.164:8082                                      30d
trisla-decision-engine-metrics   10.233.102.164:8082                                      30d
trisla-ml-nsmf                   10.233.102.184:8081                                      30d
trisla-nasp-adapter              10.233.102.190:8085                                      30d
trisla-portal-backend            10.233.75.39:8001                                        29d
trisla-portal-frontend           10.233.102.141:3000                                      29d
trisla-sem-csmf                  10.233.102.150:8080                                      30d
trisla-sla-agent-layer           10.233.102.145:8084                                      30d
trisla-sla-agent-metrics         10.233.102.145:8084                                      30d
trisla-ui-dashboard              10.233.102.149:80                                        30d
