sla_id,service_type,slice_type,latency_ms,throughput_dl_mbps,throughput_ul_mbps,intensidade_semantica,timestamp
dec-d0441918-8609-4eac-bb47-ac825fcb3de0,eMBB,eMBB,,100,50,estrito,2026-01-20T20:14:25.649773+00:00
dec-accbef1a-4a08-44b8-ba7e-32f358d709b4,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:55.569177+00:00
dec-a8bbe640-2c1f-420a-aef0-6f280d7e3c28,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:27.969991+00:00
dec-839b78b1-2cd5-41cd-b109-4b2ada994d6e,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:25.468448+00:00
dec-d0a1c72b-7033-49de-8804-9d342a6b917a,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:17.083373+00:00
dec-ad3164e0-e320-4c17-92e6-83187030f932,mMTC,mMTC,,,,estrito,2026-01-20T20:13:05.116889+00:00
dec-00c38495-e16b-4848-876d-854e8be867c7,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:41.129452+00:00
dec-793045b3-509d-46bc-90d7-45898d0a8a20,URLLC,URLLC,50,,,relaxado,2026-01-20T20:12:46.983351+00:00
dec-67f6cac5-2bd6-407a-b3a7-c9dcba76dc36,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:18.285689+00:00
dec-b1fbc5cb-935e-4506-8138-b67dcb6832fa,eMBB,eMBB,,100,50,estrito,2026-01-20T20:12:57.949288+00:00
dec-9973ff6d-43af-461d-b546-595eecda5079,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:13.519467+00:00
dec-5ab8ed09-0de5-410b-937b-b5828ce0bbc9,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:14.722284+00:00
dec-4f38af1f-ae85-4722-a564-5a37b59abf78,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:36.345538+00:00
dec-d1edbd19-ffe0-41aa-98de-fa343ea59d54,eMBB,eMBB,,100,50,estrito,2026-01-20T20:14:29.227809+00:00
dec-22ae13ff-e078-47bd-ab44-6fdd00088f02,URLLC,URLLC,50,,,relaxado,2026-01-20T20:12:53.013552+00:00
dec-01bb31b2-f4bc-415c-89f2-7cd9d914ae83,mMTC,mMTC,,,,estrito,2026-01-20T20:13:06.317386+00:00
dec-d6765afb-88e6-4a59-85fc-01e274bb3219,URLLC,URLLC,50,,,relaxado,2026-01-20T20:12:50.571574+00:00
dec-3b9ba48f-d9ec-4069-8a23-1d9d60b1adaa,mMTC,mMTC,,,,estrito,2026-01-20T20:14:06.525220+00:00
dec-1f860196-6dc3-49a2-bd7d-4e4c3e53d658,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:48.396008+00:00
dec-b9428bb6-4fcd-4ed9-9cc8-959b0f224fc1,URLLC,URLLC,50,,,relaxado,2026-01-20T20:12:54.227787+00:00
dec-6d839e69-c85f-4a58-932a-304730ff62b4,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:56.834035+00:00
dec-a0f3eeb4-8087-4a33-93f3-5dec8fc665bd,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:33.972716+00:00
dec-83fef25c-ba0a-4384-b8b5-f63c64451287,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:08.732837+00:00
dec-f1f2efb0-74d6-4f62-b25b-096a089a7e71,eMBB,eMBB,,100,50,estrito,2026-01-20T20:14:44.729685+00:00
dec-e31fb78c-9614-413b-9c22-2bbb998abfb3,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:59.228110+00:00
dec-06739426-101d-4392-9c42-f65f2ae8c0e2,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:20.897622+00:00
dec-8a83691e-544c-4a3c-917d-ecfad7171995,URLLC,URLLC,50,,,relaxado,2026-01-20T20:12:55.427482+00:00
dec-5da17586-c9e9-4f57-a61e-32cc87d413fe,eMBB,eMBB,,100,50,estrito,2026-01-20T20:14:02.949548+00:00
dec-c2ff2507-62de-467d-8c69-824040617da6,mMTC,mMTC,,,,estrito,2026-01-20T20:13:34.083132+00:00
dec-8cb6bcd8-bbf2-4365-bd13-c10003e333bc,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:05.333583+00:00
dec-92827529-17aa-4bb9-9672-a13354539778,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:42.321454+00:00
dec-8a9037b9-e166-4a44-a38d-23d28e16326e,mMTC,mMTC,,,,estrito,2026-01-20T20:13:37.665334+00:00
dec-935ace6c-4dda-4e80-b9b4-8940098c370a,URLLC,URLLC,50,,,relaxado,2026-01-20T20:13:15.902595+00:00
dec-5670d982-4b8e-4cdf-9889-f7767fe8da0e,mMTC,mMTC,,,,estrito,2026-01-20T20:14:13.731514+00:00
dec-b776acdd-2f66-44e7-9af9-cf37443f9139,eMBB,eMBB,,100,50,estrito,2026-01-20T20:13:01.545665+00:00
dec-c7c42074-dffa-4475-929e-9d39bc3b58b7,eMBB,eMBB,,100,50,estrito,2026-01-20T20:12:56.714679+00:00
dec-0d2f96eb-1ca3-427a-839d-34bf24ce8391,mMTC,mMTC,,,,estrito,2026-01-20T20:13:32.890380+00:00
dec-8ede0f10-aa83-4727-9ae7-dfce139c2799,eMBB,eMBB,,100,50,estrito,2026-01-20T20:12:59.168802+00:00
dec-70c21d69-17ec-4681-aba2-4964f4c5ee36,mMTC,mMTC,,,,estrito,2026-01-20T20:14:11.339814+00:00
dec-f4efeb17-37a5-400f-8dba-3a4d473cbbd9,mMTC,mMTC,,,,estrito,2026-01-20T20:14:04.133300+00:00
dec-dec3511f-a445-47f2-94f5-00189a7a5342,mMTC,mMTC,,,,estrito,2026-01-20T20:14:08.923249+00:00
dec-9e3971e4-651f-4da6-97cc-9884cdba18b6,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:37.542418+00:00
dec-b71ecdd2-f6a8-491b-999e-ba49e9c85d65,URLLC,URLLC,50,,,relaxado,2026-01-20T20:14:01.707887+00:00
