age,arquivo_origem,available,cluster-ip,cpu_cores,external-ip,gates,ip,memory_bytes,momento,name,node,nominated,pod_name,port_s,readiness,ready,restarts,status,type,up-to-date
(3m23s,pods_final.txt,,,,,<none>,ago),,final,trisla-bc-nssmf-68bbbd4cb8-jg4j5,node1,10.233.102.150,,,<none>,0/1,135,CrashLoopBackOff,,
(4m36s,pods_final.txt,,,,,<none>,ago),,final,trisla-nasp-adapter-7c8bb45994-hfc76,node1,10.233.102.155,,,<none>,0/1,95,CrashLoopBackOff,,
6d19h,services.txt,,10.233.43.214,,<none>,,,,initial,kafka,,,,9092/TCP,,,,,ClusterIP,
32d,services.txt,,10.233.39.215,,<none>,,,,initial,trisla-bc-nssmf,,,,8083/TCP,,,,,ClusterIP,
31d,services.txt,,10.233.30.108,,<none>,,,,initial,trisla-bc-nssmf-metrics,,,,8083/TCP,,,,,ClusterIP,
8h,services.txt,,10.233.9.111,,<none>,,,,initial,trisla-besu,,,,"8545/TCP,8546/TCP,30303/TCP",,,,,ClusterIP,
32d,services.txt,,10.233.26.201,,<none>,,,,initial,trisla-decision-engine,,,,8082/TCP,,,,,ClusterIP,
31d,services.txt,,10.233.32.162,,<none>,,,,initial,trisla-decision-engine-metrics,,,,8082/TCP,,,,,ClusterIP,
32d,services.txt,,10.233.28.209,,<none>,,,,initial,trisla-ml-nsmf,,,,8081/TCP,,,,,ClusterIP,
32d,services.txt,,10.233.6.35,,<none>,,,,initial,trisla-nasp-adapter,,,,8085/TCP,,,,,ClusterIP,
31d,services.txt,,10.233.46.159,,<none>,,,,initial,trisla-portal-backend,,,,8001:32002/TCP,,,,,NodePort,
31d,services.txt,,10.233.19.22,,<none>,,,,initial,trisla-portal-frontend,,,,80:32001/TCP,,,,,NodePort,
32d,services.txt,,10.233.13.160,,<none>,,,,initial,trisla-sem-csmf,,,,8080/TCP,,,,,ClusterIP,
32d,services.txt,,10.233.4.83,,<none>,,,,initial,trisla-sla-agent-layer,,,,8084/TCP,,,,,ClusterIP,
31d,services.txt,,10.233.25.234,,<none>,,,,initial,trisla-sla-agent-metrics,,,,8084/TCP,,,,,ClusterIP,
32d,services.txt,,10.233.4.125,,<none>,,,,initial,trisla-ui-dashboard,,,,80/TCP,,,,,ClusterIP,
(19s,pods_initial.txt,,,,,<none>,ago),,initial,trisla-bc-nssmf-68bbbd4cb8-jg4j5,node1,10.233.102.150,,,<none>,0/1,135,Running,,
(32s,pods_initial.txt,,,,,<none>,ago),,initial,trisla-nasp-adapter-7c8bb45994-hfc76,node1,10.233.102.155,,,<none>,0/1,95,CrashLoopBackOff,,
6d19h,deployments.txt,1,,,,,,,initial,kafka,,,,,,1/1,,,,1
17h,deployments.txt,1,,,,,,,initial,trisla-bc-nssmf,,,,,,1/1,,,,1
8h,deployments.txt,1,,,,,,,initial,trisla-besu,,,,,,1/1,,,,1
7h44m,deployments.txt,1,,,,,,,initial,trisla-decision-engine,,,,,,1/1,,,,1
32d,deployments.txt,1,,,,,,,initial,trisla-ml-nsmf,,,,,,1/1,,,,1
32d,deployments.txt,1,,,,,,,initial,trisla-nasp-adapter,,,,,,1/1,,,,1
31d,deployments.txt,1,,,,,,,initial,trisla-portal-backend,,,,,,1/1,,,,1
31d,deployments.txt,1,,,,,,,initial,trisla-portal-frontend,,,,,,1/1,,,,1
28d,deployments.txt,1,,,,,,,initial,trisla-sem-csmf,,,,,,1/1,,,,1
32d,deployments.txt,1,,,,,,,initial,trisla-sla-agent-layer,,,,,,1/1,,,,1
32d,deployments.txt,1,,,,,,,initial,trisla-ui-dashboard,,,,,,1/1,,,,1
,sem_csmf_metrics.txt,,,192.168.10.16:51990,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:37026,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:51872,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:51878,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:36854,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:51882,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:36864,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:55266,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:55282,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:37752,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:55298,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:37758,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:52574,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:52582,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:45854,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:52594,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:45868,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:33784,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:33792,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:33074,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:33806,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:33088,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:37636,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:37642,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:40422,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:37654,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:40428,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:55726,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:55724,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:51930,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:55738,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:51934,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:51994,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:51996,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:40832,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:52010,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:40846,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:43340,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:43338,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:34516,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:43350,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:34530,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:43288,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:43290,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:36634,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:43294,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,10.233.75.28:36642,,,,-,initial,,,,INFO:,,,,,,,
,sem_csmf_metrics.txt,,,192.168.10.16:57206,,,,-,initial,,,,INFO:,,,,,,,
