NAME                                        READY   STATUS      RESTARTS      AGE     IP               NODE    NOMINATED NODE   READINESS GATES
amf-free5gc-amf-amf-0                       1/1     Running     0             122m    10.233.102.178   node1   <none>           <none>
ausf-free5gc-ausf-ausf-fdfbdd45d-lphqv      1/1     Running     0             4h43m   10.233.75.70     node2   <none>           <none>
curl-udr-prov                               0/1     Completed   0             19d     <none>           node1   <none>           <none>
curl-webui                                  0/1     Completed   0             22d     <none>           node1   <none>           <none>
dnn-n6-iperf-peer                           1/1     Running     0             18d     10.233.75.45     node2   <none>           <none>
mongodb-0                                   1/1     Running     2 (19d ago)   28d     10.233.75.27     node2   <none>           <none>
nrf-free5gc-nrf-nrf-79874bb77d-fjhkq        1/1     Running     0             122m    10.233.102.145   node1   <none>           <none>
nssf-free5gc-nssf-nssf-584d7588dd-kr2vw     1/1     Running     0             4h43m   10.233.75.71     node2   <none>           <none>
pcf-free5gc-pcf-pcf-758685ff58-mv7xv        1/1     Running     0             4h43m   10.233.75.72     node2   <none>           <none>
rantester-0                                 1/1     Running     0             4h45m   10.233.75.67     node2   <none>           <none>
smf-free5gc-smf-smf-0                       1/1     Running     0             122m    10.233.75.78     node2   <none>           <none>
udm-free5gc-udm-udm-db6cbb654-4xqzx         1/1     Running     0             4h44m   10.233.75.69     node2   <none>           <none>
udr-free5gc-udr-udr-857b878cb8-f2d2w        1/1     Running     0             4h44m   10.233.75.68     node2   <none>           <none>
udr-free5gc-udr-udr-857b878cb8-z92xn        0/1     Completed   0             19d     <none>           node1   <none>           <none>
upf-free5gc-upf-upf-0                       1/1     Running     0             18d     10.233.75.25     node2   <none>           <none>
v61-stress-test2                            0/1     Completed   0             14d     <none>           node1   <none>           <none>
webui-free5gc-webui-webui-9f58548bc-fgcst   1/1     Running     2 (19d ago)   28d     10.233.75.29     node2   <none>           <none>
