NAME                                      READY   STATUS             RESTARTS          AGE     IP               NODE    NOMINATED NODE   READINESS GATES
http-diag                                 0/1     Completed          0                 5d9h    10.233.75.23     node2   <none>           <none>
kafka-c948b8d64-jgmz5                     1/1     Running            0                 5d21h   10.233.75.59     node2   <none>           <none>
registry-sanity                           0/1     Completed          0                 27d     10.233.102.189   node1   <none>           <none>
registry-sanity-verify                    0/1     Completed          0                 27d     10.233.75.15     node2   <none>           <none>
trisla-bc-nssmf-7b5c6fd7b7-zc4zl          1/1     Running            0                 23d     10.233.102.138   node1   <none>           <none>
trisla-bc-nssmf-7d99b476b7-r75jl          0/1     ImagePullBackOff   0                 5d23h   10.233.102.155   node1   <none>           <none>
trisla-besu-6448cb6bc6-mxb84              1/1     Running            0                 27d     10.233.75.56     node2   <none>           <none>
trisla-besu-998757d8d-l88v7               0/1     CrashLoopBackOff   34 (4m59s ago)    151m    10.233.75.10     node2   <none>           <none>
trisla-decision-engine-649cb78c86-cr4vx   1/1     Running            0                 151m    10.233.102.158   node1   <none>           <none>
trisla-ml-nsmf-78844887fb-tsskz           1/1     Running            0                 9h      10.233.102.184   node1   <none>           <none>
trisla-nasp-adapter-5688bf5f8f-x4fm2      1/1     Running            0                 8d      10.233.102.190   node1   <none>           <none>
trisla-nasp-adapter-664894c59c-tv6m8      0/1     Running            154 (5m58s ago)   9h      10.233.102.146   node1   <none>           <none>
trisla-portal-backend-7b6659cf99-q84fv    1/1     Running            0                 79m     10.233.75.45     node2   <none>           <none>
trisla-portal-frontend-7dffd67779-mql7r   1/1     Running            0                 53m     10.233.75.12     node2   <none>           <none>
trisla-sem-csmf-5f689d75d6-gbcb6          1/1     Running            0                 9h      10.233.102.150   node1   <none>           <none>
trisla-sla-agent-layer-6d944c889c-ntwqc   1/1     Running            0                 9h      10.233.102.145   node1   <none>           <none>
trisla-ui-dashboard-85755bf748-t9zfs      1/1     Running            0                 9h      10.233.102.149   node1   <none>           <none>
