LAST SEEN   TYPE      REASON                            OBJECT                                         MESSAGE
3m48s       Warning   FailedToRetrieveImagePullSecret   pod/trisla-nasp-adapter-5688bf5f8f-x4fm2       Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
2m31s       Warning   FailedToRetrieveImagePullSecret   pod/trisla-ui-dashboard-85755bf748-t9zfs       Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
4m31s       Warning   FailedToRetrieveImagePullSecret   pod/trisla-bc-nssmf-7c8ff9c4fc-kwmqd           Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
3m31s       Warning   FailedToRetrieveImagePullSecret   pod/trisla-bc-nssmf-68bbbd4cb8-jg4j5           Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
3m10s       Warning   FailedToRetrieveImagePullSecret   pod/trisla-sla-agent-layer-b8c7b6fdc-x6fbb     Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
3m34s       Warning   FailedToRetrieveImagePullSecret   pod/trisla-sem-csmf-95dfc79f4-zpscg            Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
3m30s       Warning   FailedToRetrieveImagePullSecret   pod/trisla-nasp-adapter-7c8bb45994-hfc76       Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
28m         Warning   Unhealthy                         pod/trisla-bc-nssmf-68bbbd4cb8-jg4j5           Readiness probe failed: Get "http://10.233.102.150:8083/health": dial tcp 10.233.102.150:8083: connect: connection refused
59m         Normal    ScalingReplicaSet                 deployment/trisla-decision-engine              Scaled down replica set trisla-decision-engine-77f5cf8477 to 0 from 1
60m         Normal    ScalingReplicaSet                 deployment/trisla-decision-engine              Scaled up replica set trisla-decision-engine-77f5cf8477 to 1 from 0
60m         Normal    ScalingReplicaSet                 deployment/trisla-decision-engine              Scaled down replica set trisla-decision-engine-6fbf996cfb to 0 from 1
56m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-ml-nsmf-5cc6b8c476-7sgth            Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
60m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-decision-engine-6fbf996cfb-wrpw6    Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
63m         Normal    Pulling                           pod/curltest-decision2                         Pulling image "curlimages/curl"
63m         Normal    Started                           pod/curltest-decision2                         Started container curltest-decision2
63m         Normal    Created                           pod/curltest-decision2                         Created container curltest-decision2
63m         Normal    Pulled                            pod/curltest-decision2                         Successfully pulled image "curlimages/curl" in 1.88s (1.88s including waiting). Image size: 10767170 bytes.
62m         Normal    Pulling                           pod/curltest-decision3                         Pulling image "curlimages/curl"
62m         Normal    Created                           pod/curltest-decision3                         Created container curltest-decision3
62m         Normal    Started                           pod/curltest-decision3                         Started container curltest-decision3
62m         Normal    Pulled                            pod/curltest-decision3                         Successfully pulled image "curlimages/curl" in 1.417s (1.417s including waiting). Image size: 10767170 bytes.
61m         Normal    Pulling                           pod/curltest-decision4                         Pulling image "curlimages/curl"
61m         Normal    Pulled                            pod/curltest-decision4                         Successfully pulled image "curlimages/curl" in 1.198s (1.198s including waiting). Image size: 10767170 bytes.
61m         Normal    Started                           pod/curltest-decision4                         Started container curltest-decision4
61m         Normal    Created                           pod/curltest-decision4                         Created container curltest-decision4
