LAST SEEN   TYPE      REASON                            OBJECT                                          MESSAGE
14m         Normal    AddedInterface                    pod/trisla-besu-8c4979c76-mjzq2                 Add eth0 [10.233.75.10/32] from k8s-pod-network
14m         Normal    ProvisioningSucceeded             persistentvolumeclaim/trisla-trisla-besu-data   Successfully provisioned volume pvc-560fb016-d9e3-44c9-9beb-438a5b58c6fc
14m         Normal    Provisioning                      persistentvolumeclaim/trisla-trisla-besu-data   External provisioner is provisioning volume for claim "trisla/trisla-trisla-besu-data"
14m         Normal    Provisioning                      persistentvolumeclaim/trisla-besu-data          External provisioner is provisioning volume for claim "trisla/trisla-besu-data"
14m         Normal    AddedInterface                    pod/trisla-trisla-besu-979b7df9d-vjmjk          Add eth0 [10.233.75.36/32] from k8s-pod-network
14m         Normal    ProvisioningSucceeded             persistentvolumeclaim/trisla-besu-data          Successfully provisioned volume pvc-552ae53f-1f5d-4321-b3cd-8ebc39f5c469
14m         Normal    Started                           pod/trisla-besu-8c4979c76-mjzq2                 Started container besu
14m         Normal    Created                           pod/trisla-besu-8c4979c76-mjzq2                 Created container besu
14m         Normal    Pulled                            pod/trisla-besu-8c4979c76-mjzq2                 Container image "ghcr.io/abelisboa/trisla-besu:v3.7.16" already present on machine
13m         Normal    Pulling                           pod/trisla-trisla-besu-979b7df9d-vjmjk          Pulling image "ghcr.io/abelisboa/trisla-besu:23.10.1"
13m         Warning   Failed                            pod/trisla-trisla-besu-979b7df9d-vjmjk          Failed to pull image "ghcr.io/abelisboa/trisla-besu:23.10.1": rpc error: code = NotFound desc = failed to pull and unpack image "ghcr.io/abelisboa/trisla-besu:23.10.1": failed to resolve reference "ghcr.io/abelisboa/trisla-besu:23.10.1": ghcr.io/abelisboa/trisla-besu:23.10.1: not found
13m         Warning   Failed                            pod/trisla-trisla-besu-979b7df9d-vjmjk          Error: ErrImagePull
13m         Warning   Failed                            pod/trisla-trisla-besu-979b7df9d-vjmjk          Error: ImagePullBackOff
12m         Normal    ExternalProvisioning              persistentvolumeclaim/trisla-besu-data          Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-storage-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
12m         Normal    SuccessfulCreate                  replicaset/trisla-nasp-adapter-74cd854849       Created pod: trisla-nasp-adapter-74cd854849-fq5hf
12m         Normal    Scheduled                         pod/trisla-besu-8c4979c76-mjzq2                 Successfully assigned trisla/trisla-besu-8c4979c76-mjzq2 to node2
12m         Normal    ScalingReplicaSet                 deployment/trisla-bc-nssmf                      Scaled up replica set trisla-bc-nssmf-cb869b895 to 1
12m         Normal    Scheduled                         pod/trisla-bc-nssmf-cb869b895-krxf9             Successfully assigned trisla/trisla-bc-nssmf-cb869b895-krxf9 to node1
12m         Normal    ScalingReplicaSet                 deployment/trisla-besu                          Scaled up replica set trisla-besu-8c4979c76 to 1
12m         Normal    Scheduled                         pod/trisla-decision-engine-7d466f9f69-j4nwt     Successfully assigned trisla/trisla-decision-engine-7d466f9f69-j4nwt to node1
12m         Normal    ScalingReplicaSet                 deployment/trisla-trisla-besu                   Scaled up replica set trisla-trisla-besu-979b7df9d to 1
12m         Normal    ExternalProvisioning              persistentvolumeclaim/trisla-trisla-besu-data   Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-storage-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
12m         Normal    SuccessfulCreate                  replicaset/trisla-trisla-besu-979b7df9d         Created pod: trisla-trisla-besu-979b7df9d-vjmjk
12m         Normal    Scheduled                         pod/trisla-trisla-besu-979b7df9d-vjmjk          Successfully assigned trisla/trisla-trisla-besu-979b7df9d-vjmjk to node2
12m         Normal    SuccessfulCreate                  replicaset/trisla-bc-nssmf-cb869b895            Created pod: trisla-bc-nssmf-cb869b895-krxf9
12m         Normal    SuccessfulCreate                  replicaset/trisla-decision-engine-7d466f9f69    Created pod: trisla-decision-engine-7d466f9f69-j4nwt
12m         Normal    ScalingReplicaSet                 deployment/trisla-decision-engine               Scaled up replica set trisla-decision-engine-7d466f9f69 to 1
12m         Normal    Scheduled                         pod/trisla-ml-nsmf-779d6cc88b-pkwlf             Successfully assigned trisla/trisla-ml-nsmf-779d6cc88b-pkwlf to node1
12m         Normal    ScalingReplicaSet                 deployment/trisla-sla-agent-layer               Scaled up replica set trisla-sla-agent-layer-6b65566595 to 1
12m         Normal    SuccessfulCreate                  replicaset/trisla-besu-8c4979c76                Created pod: trisla-besu-8c4979c76-mjzq2
12m         Normal    SuccessfulCreate                  replicaset/trisla-sla-agent-layer-6b65566595    Created pod: trisla-sla-agent-layer-6b65566595-4pr8k
12m         Normal    Scheduled                         pod/trisla-sla-agent-layer-6b65566595-4pr8k     Successfully assigned trisla/trisla-sla-agent-layer-6b65566595-4pr8k to node1
12m         Normal    ScalingReplicaSet                 deployment/trisla-nasp-adapter                  Scaled up replica set trisla-nasp-adapter-74cd854849 to 1
12m         Normal    SuccessfulCreate                  replicaset/trisla-ml-nsmf-779d6cc88b            Created pod: trisla-ml-nsmf-779d6cc88b-pkwlf
12m         Normal    ScalingReplicaSet                 deployment/trisla-ml-nsmf                       Scaled up replica set trisla-ml-nsmf-779d6cc88b to 1
12m         Normal    Scheduled                         pod/trisla-nasp-adapter-74cd854849-fq5hf        Successfully assigned trisla/trisla-nasp-adapter-74cd854849-fq5hf to node1
12m         Normal    AddedInterface                    pod/trisla-ml-nsmf-779d6cc88b-pkwlf             Add eth0 [10.233.102.184/32] from k8s-pod-network
12m         Normal    AddedInterface                    pod/trisla-decision-engine-7d466f9f69-j4nwt     Add eth0 [10.233.102.179/32] from k8s-pod-network
12m         Normal    Pulled                            pod/trisla-nasp-adapter-74cd854849-fq5hf        Container image "ghcr.io/abelisboa/trisla-nasp-adapter:nasp-a2" already present on machine
12m         Normal    Created                           pod/trisla-nasp-adapter-74cd854849-fq5hf        Created container nasp-adapter
12m         Normal    Started                           pod/trisla-nasp-adapter-74cd854849-fq5hf        Started container nasp-adapter
12m         Normal    ScalingReplicaSet                 deployment/trisla-ui-dashboard                  Scaled up replica set trisla-ui-dashboard-dfb9ff9cc to 1
12m         Normal    Started                           pod/trisla-ml-nsmf-779d6cc88b-pkwlf             Started container ml-nsmf
12m         Normal    Created                           pod/trisla-ml-nsmf-779d6cc88b-pkwlf             Created container ml-nsmf
12m         Normal    SuccessfulCreate                  replicaset/trisla-ui-dashboard-dfb9ff9cc        Created pod: trisla-ui-dashboard-dfb9ff9cc-f5qsr
12m         Normal    AddedInterface                    pod/trisla-sla-agent-layer-6b65566595-4pr8k     Add eth0 [10.233.102.148/32] from k8s-pod-network
12m         Normal    Pulled                            pod/trisla-sla-agent-layer-6b65566595-4pr8k     Container image "ghcr.io/abelisboa/trisla-sla-agent-layer:nasp-a2" already present on machine
12m         Normal    Created                           pod/trisla-sla-agent-layer-6b65566595-4pr8k     Created container sla-agent-layer
12m         Normal    Started                           pod/trisla-sla-agent-layer-6b65566595-4pr8k     Started container sla-agent-layer
12m         Normal    Pulled                            pod/trisla-ml-nsmf-779d6cc88b-pkwlf             Container image "ghcr.io/abelisboa/trisla-ml-nsmf:v3.7.14" already present on machine
12m         Normal    AddedInterface                    pod/trisla-ui-dashboard-dfb9ff9cc-f5qsr         Add eth0 [10.233.102.186/32] from k8s-pod-network
12m         Normal    Started                           pod/trisla-decision-engine-7d466f9f69-j4nwt     Started container decision-engine
12m         Normal    Scheduled                         pod/trisla-ui-dashboard-dfb9ff9cc-f5qsr         Successfully assigned trisla/trisla-ui-dashboard-dfb9ff9cc-f5qsr to node1
12m         Normal    AddedInterface                    pod/trisla-nasp-adapter-74cd854849-fq5hf        Add eth0 [10.233.102.177/32] from k8s-pod-network
12m         Normal    AddedInterface                    pod/trisla-bc-nssmf-cb869b895-krxf9             Add eth0 [10.233.102.137/32] from k8s-pod-network
12m         Normal    Pulled                            pod/trisla-decision-engine-7d466f9f69-j4nwt     Container image "ghcr.io/abelisboa/trisla-decision-engine:nasp-a2" already present on machine
12m         Normal    Pulling                           pod/trisla-bc-nssmf-cb869b895-krxf9             Pulling image "ghcr.io/abelisboa/trisla-bc-nssmf:v3.7.17"
12m         Normal    Created                           pod/trisla-decision-engine-7d466f9f69-j4nwt     Created container decision-engine
12m         Normal    Pulled                            pod/trisla-ui-dashboard-dfb9ff9cc-f5qsr         Container image "ghcr.io/abelisboa/trisla-ui-dashboard:nasp-a2" already present on machine
12m         Normal    Started                           pod/trisla-ui-dashboard-dfb9ff9cc-f5qsr         Started container ui-dashboard
12m         Normal    Created                           pod/trisla-ui-dashboard-dfb9ff9cc-f5qsr         Created container ui-dashboard
11m         Normal    Created                           pod/trisla-bc-nssmf-cb869b895-krxf9             Created container bc-nssmf
11m         Normal    Started                           pod/trisla-bc-nssmf-cb869b895-krxf9             Started container bc-nssmf
11m         Normal    Pulled                            pod/trisla-bc-nssmf-cb869b895-krxf9             Successfully pulled image "ghcr.io/abelisboa/trisla-bc-nssmf:v3.7.17" in 7.022s (7.022s including waiting). Image size: 175349643 bytes.
4m51s       Normal    BackOff                           pod/trisla-trisla-besu-979b7df9d-vjmjk          Back-off pulling image "ghcr.io/abelisboa/trisla-besu:23.10.1"
76s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-bc-nssmf-cb869b895-krxf9             Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
64s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-decision-engine-7d466f9f69-j4nwt     Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
60s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-ml-nsmf-779d6cc88b-pkwlf             Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
34s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-nasp-adapter-74cd854849-fq5hf        Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
11s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-ui-dashboard-dfb9ff9cc-f5qsr         Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
1s          Warning   FailedToRetrieveImagePullSecret   pod/trisla-sla-agent-layer-6b65566595-4pr8k     Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
