LAST SEEN   TYPE      REASON                            OBJECT                                          MESSAGE
3m16s       Normal    AddedInterface                    pod/curl-besu-test                              Add eth0 [10.233.75.29/32] from k8s-pod-network
3m16s       Normal    Pulling                           pod/curl-besu-test                              Pulling image "curlimages/curl:latest"
3m15s       Normal    Pulled                            pod/curl-besu-test                              Successfully pulled image "curlimages/curl:latest" in 1.123s (1.123s including waiting). Image size: 9882231 bytes.
3m15s       Normal    Created                           pod/curl-besu-test                              Created container curl-besu-test
3m15s       Normal    Started                           pod/curl-besu-test                              Started container curl-besu-test
27s         Normal    Scheduled                         pod/curl-besu-test                              Successfully assigned trisla/curl-besu-test to node2
3m1s        Normal    AddedInterface                    pod/curl-health                                 Add eth0 [10.233.75.58/32] from k8s-pod-network
3m1s        Normal    Pulling                           pod/curl-health                                 Pulling image "curlimages/curl:latest"
3m          Normal    Pulled                            pod/curl-health                                 Successfully pulled image "curlimages/curl:latest" in 1.078s (1.078s including waiting). Image size: 9882231 bytes.
3m          Normal    Created                           pod/curl-health                                 Created container curl-health
3m          Normal    Started                           pod/curl-health                                 Started container curl-health
12s         Normal    Scheduled                         pod/curl-health                                 Successfully assigned trisla/curl-health to node2
13m         Normal    Scheduled                         pod/trisla-bc-nssmf-84995f7445-8j7nl            Successfully assigned trisla/trisla-bc-nssmf-84995f7445-8j7nl to node1
11s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-bc-nssmf-84995f7445-8j7nl            Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
13m         Normal    AddedInterface                    pod/trisla-bc-nssmf-84995f7445-8j7nl            Add eth0 [10.233.102.166/32] from k8s-pod-network
13m         Normal    Pulling                           pod/trisla-bc-nssmf-84995f7445-8j7nl            Pulling image "ghcr.io/abelisboa/trisla-bc-nssmf:v3.7.18"
13m         Normal    Pulled                            pod/trisla-bc-nssmf-84995f7445-8j7nl            Successfully pulled image "ghcr.io/abelisboa/trisla-bc-nssmf:v3.7.18" in 509ms (509ms including waiting). Image size: 175350530 bytes.
13m         Normal    Created                           pod/trisla-bc-nssmf-84995f7445-8j7nl            Created container bc-nssmf
13m         Normal    Started                           pod/trisla-bc-nssmf-84995f7445-8j7nl            Started container bc-nssmf
13m         Normal    SuccessfulCreate                  replicaset/trisla-bc-nssmf-84995f7445           Created pod: trisla-bc-nssmf-84995f7445-8j7nl
13m         Normal    ScalingReplicaSet                 deployment/trisla-bc-nssmf                      Scaled up replica set trisla-bc-nssmf-84995f7445 to 1
13m         Normal    Scheduled                         pod/trisla-decision-engine-7d466f9f69-2smjm     Successfully assigned trisla/trisla-decision-engine-7d466f9f69-2smjm to node1
15s         Warning   FailedToRetrieveImagePullSecret   pod/trisla-decision-engine-7d466f9f69-2smjm     Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
13m         Normal    AddedInterface                    pod/trisla-decision-engine-7d466f9f69-2smjm     Add eth0 [10.233.102.179/32] from k8s-pod-network
