LAST SEEN   TYPE      REASON                            OBJECT                                          MESSAGE
17m         Normal    ProvisioningSucceeded             persistentvolumeclaim/trisla-besu-data          Successfully provisioned volume pvc-52b56952-4f2e-4971-a2dc-7cdd3256acbe
14m         Normal    AddedInterface                    pod/trisla-ui-dashboard-dfb9ff9cc-55m9n         Add eth0 [10.233.102.152/32] from k8s-pod-network
17m         Normal    ProvisioningSucceeded             persistentvolumeclaim/trisla-trisla-besu-data   Successfully provisioned volume pvc-0d6231e4-f1c7-44b5-9c86-be6addc8b178
17m         Normal    Provisioning                      persistentvolumeclaim/trisla-trisla-besu-data   External provisioner is provisioning volume for claim "trisla/trisla-trisla-besu-data"
17m         Normal    Provisioning                      persistentvolumeclaim/trisla-besu-data          External provisioner is provisioning volume for claim "trisla/trisla-besu-data"
16m         Normal    Started                           pod/trisla-besu-5548f6498d-vdjnj                Started container besu
15m         Warning   Failed                            pod/trisla-trisla-besu-979b7df9d-br55t          Error: ErrImagePull
15m         Warning   Failed                            pod/trisla-trisla-besu-979b7df9d-br55t          Failed to pull image "ghcr.io/abelisboa/trisla-besu:23.10.1": rpc error: code = NotFound desc = failed to pull and unpack image "ghcr.io/abelisboa/trisla-besu:23.10.1": failed to resolve reference "ghcr.io/abelisboa/trisla-besu:23.10.1": ghcr.io/abelisboa/trisla-besu:23.10.1: not found
15m         Normal    Pulling                           pod/trisla-trisla-besu-979b7df9d-br55t          Pulling image "ghcr.io/abelisboa/trisla-besu:23.10.1"
16m         Normal    AddedInterface                    pod/trisla-trisla-besu-979b7df9d-br55t          Add eth0 [10.233.75.57/32] from k8s-pod-network
16m         Normal    Pulled                            pod/trisla-besu-5548f6498d-vdjnj                Container image "ghcr.io/abelisboa/trisla-besu:v3.7.16" already present on machine
16m         Normal    Created                           pod/trisla-besu-5548f6498d-vdjnj                Created container besu
14m         Normal    AddedInterface                    pod/trisla-sla-agent-layer-6b65566595-l8ffv     Add eth0 [10.233.102.148/32] from k8s-pod-network
14m         Normal    AddedInterface                    pod/trisla-ml-nsmf-779d6cc88b-jr8sq             Add eth0 [10.233.102.184/32] from k8s-pod-network
6m58s       Normal    BackOff                           pod/trisla-trisla-besu-979b7df9d-br55t          Back-off pulling image "ghcr.io/abelisboa/trisla-besu:23.10.1"
15m         Warning   Failed                            pod/trisla-trisla-besu-979b7df9d-br55t          Error: ImagePullBackOff
14m         Normal    ExternalProvisioning              persistentvolumeclaim/trisla-besu-data          Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-storage-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
14m         Normal    SuccessfulCreate                  replicaset/trisla-nasp-adapter-74cd854849       Created pod: trisla-nasp-adapter-74cd854849-p5p2x
14m         Normal    ScalingReplicaSet                 deployment/trisla-besu                          Scaled up replica set trisla-besu-5548f6498d to 1
14m         Normal    Scheduled                         pod/trisla-decision-engine-7d466f9f69-g89tc     Successfully assigned trisla/trisla-decision-engine-7d466f9f69-g89tc to node1
14m         Normal    ScalingReplicaSet                 deployment/trisla-ui-dashboard                  Scaled up replica set trisla-ui-dashboard-dfb9ff9cc to 1
14m         Normal    SuccessfulCreate                  replicaset/trisla-ui-dashboard-dfb9ff9cc        Created pod: trisla-ui-dashboard-dfb9ff9cc-55m9n
