LAST SEEN   TYPE      REASON                  OBJECT                                          MESSAGE
15m         Normal    ProvisioningSucceeded   persistentvolumeclaim/trisla-trisla-besu-data   Successfully provisioned volume pvc-30d5446c-f8a9-4413-81ae-c6217733c803
15m         Normal    Provisioning            persistentvolumeclaim/trisla-trisla-besu-data   External provisioner is provisioning volume for claim "trisla/trisla-trisla-besu-data"
15m         Normal    Provisioning            persistentvolumeclaim/trisla-besu-data          External provisioner is provisioning volume for claim "trisla/trisla-besu-data"
15m         Normal    ProvisioningSucceeded   persistentvolumeclaim/trisla-besu-data          Successfully provisioned volume pvc-b244d5d6-d416-40c9-a217-f3e6b4340fe5
15m         Normal    AddedInterface          pod/trisla-trisla-besu-979b7df9d-ck2q8          Add eth0 [10.233.75.3/32] from k8s-pod-network
15m         Normal    AddedInterface          pod/trisla-besu-6d674f5fcb-bz8t7                Add eth0 [10.233.75.44/32] from k8s-pod-network
13m         Warning   Failed                  pod/trisla-trisla-besu-979b7df9d-ck2q8          Error: ErrImagePull
13m         Warning   Failed                  pod/trisla-trisla-besu-979b7df9d-ck2q8          Failed to pull image "ghcr.io/abelisboa/trisla-besu:23.10.1": rpc error: code = NotFound desc = failed to pull and unpack image "ghcr.io/abelisboa/trisla-besu:23.10.1": failed to resolve reference "ghcr.io/abelisboa/trisla-besu:23.10.1": ghcr.io/abelisboa/trisla-besu:23.10.1: not found
13m         Normal    Pulling                 pod/trisla-trisla-besu-979b7df9d-ck2q8          Pulling image "ghcr.io/abelisboa/trisla-besu:23.10.1"
13m         Warning   Failed                  pod/trisla-trisla-besu-979b7df9d-ck2q8          Error: ImagePullBackOff
13m         Normal    Started                 pod/trisla-besu-6d674f5fcb-bz8t7                Started container besu
13m         Normal    Created                 pod/trisla-besu-6d674f5fcb-bz8t7                Created container besu
13m         Normal    Pulled                  pod/trisla-besu-6d674f5fcb-bz8t7                Container image "hyperledger/besu:latest" already present on machine
12m         Normal    Scheduled               pod/trisla-decision-engine-7d466f9f69-s5tsl     Successfully assigned trisla/trisla-decision-engine-7d466f9f69-s5tsl to node1
12m         Normal    SuccessfulCreate        replicaset/trisla-ml-nsmf-874f9447f             Created pod: trisla-ml-nsmf-874f9447f-69bnd
12m         Normal    Scheduled               pod/trisla-besu-6d674f5fcb-bz8t7                Successfully assigned trisla/trisla-besu-6d674f5fcb-bz8t7 to node2
12m         Normal    ExternalProvisioning    persistentvolumeclaim/trisla-besu-data          Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-storage-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
12m         Normal    ScalingReplicaSet       deployment/trisla-besu                          Scaled up replica set trisla-besu-6d674f5fcb to 1
12m         Normal    Scheduled               pod/trisla-bc-nssmf-95bbff56c-dk429             Successfully assigned trisla/trisla-bc-nssmf-95bbff56c-dk429 to node1
12m         Normal    ScalingReplicaSet       deployment/trisla-trisla-besu                   Scaled up replica set trisla-trisla-besu-979b7df9d to 1
12m         Normal    ExternalProvisioning    persistentvolumeclaim/trisla-trisla-besu-data   Waiting for a volume to be created either by the external provisioner 'cluster.local/nfs-storage-nfs-subdir-external-provisioner' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
12m         Normal    SuccessfulCreate        replicaset/trisla-trisla-besu-979b7df9d         Created pod: trisla-trisla-besu-979b7df9d-ck2q8
12m         Normal    Scheduled               pod/trisla-trisla-besu-979b7df9d-ck2q8          Successfully assigned trisla/trisla-trisla-besu-979b7df9d-ck2q8 to node2
12m         Normal    SuccessfulCreate        replicaset/trisla-bc-nssmf-95bbff56c            Created pod: trisla-bc-nssmf-95bbff56c-dk429
12m         Normal    SuccessfulCreate        replicaset/trisla-decision-engine-7d466f9f69    Created pod: trisla-decision-engine-7d466f9f69-s5tsl
12m         Normal    ScalingReplicaSet       deployment/trisla-decision-engine               Scaled up replica set trisla-decision-engine-7d466f9f69 to 1
12m         Normal    ScalingReplicaSet       deployment/trisla-bc-nssmf                      Scaled up replica set trisla-bc-nssmf-95bbff56c to 1
12m         Normal    ScalingReplicaSet       deployment/trisla-ml-nsmf                       Scaled up replica set trisla-ml-nsmf-874f9447f to 1
12m         Normal    SuccessfulCreate        replicaset/trisla-besu-6d674f5fcb               Created pod: trisla-besu-6d674f5fcb-bz8t7
12m         Normal    Pulled                  pod/trisla-ml-nsmf-874f9447f-69bnd              Container image "ghcr.io/abelisboa/trisla-ml-nsmf:nasp-a2" already present on machine
12m         Normal    Started                 pod/trisla-decision-engine-7d466f9f69-s5tsl     Started container decision-engine
12m         Normal    Created                 pod/trisla-ml-nsmf-874f9447f-69bnd              Created container ml-nsmf
12m         Normal    AddedInterface          pod/trisla-ml-nsmf-874f9447f-69bnd              Add eth0 [10.233.102.165/32] from k8s-pod-network
12m         Normal    Scheduled               pod/trisla-nasp-adapter-74cd854849-zmsh9        Successfully assigned trisla/trisla-nasp-adapter-74cd854849-zmsh9 to node1
12m         Normal    AddedInterface          pod/trisla-nasp-adapter-74cd854849-zmsh9        Add eth0 [10.233.102.130/32] from k8s-pod-network
12m         Normal    Pulled                  pod/trisla-nasp-adapter-74cd854849-zmsh9        Container image "ghcr.io/abelisboa/trisla-nasp-adapter:nasp-a2" already present on machine
12m         Normal    Created                 pod/trisla-nasp-adapter-74cd854849-zmsh9        Created container nasp-adapter
12m         Normal    Started                 pod/trisla-nasp-adapter-74cd854849-zmsh9        Started container nasp-adapter
