NAME                                      READY   STATUS             RESTARTS         AGE    IP               NODE    NOMINATED NODE   READINESS GATES
test-curl2                                0/1     Completed          0                17h    10.233.75.41     node2   <none>           <none>
test-metrics-ml                           0/1     Completed          0                43m    10.233.75.36     node2   <none>           <none>
trisla-bc-nssmf-84995f7445-t2jd2          1/1     Running            0                39h    10.233.102.148   node1   <none>           <none>
trisla-decision-engine-5f4f54fdb4-9zqlj   1/1     Running            0                79m    10.233.102.170   node1   <none>           <none>
trisla-ml-nsmf-697c8576b5-hkqg7           0/1     CrashLoopBackOff   35 (3m42s ago)   110m   10.233.102.158   node1   <none>           <none>
trisla-ml-nsmf-779d6cc88b-qn46j           1/1     Running            0                40h    10.233.102.185   node1   <none>           <none>
trisla-nasp-adapter-74cd854849-4tmwv      1/1     Running            0                40h    10.233.102.152   node1   <none>           <none>
trisla-portal-backend-565fcc7f45-kqd8b    1/1     Running            0                12h    10.233.75.22     node2   <none>           <none>
trisla-portal-frontend-6dd98dc868-7vfqf   1/1     Running            0                12h    10.233.75.63     node2   <none>           <none>
trisla-sem-csmf-848588fdd6-ggmpl          1/1     Running            0                121m   10.233.102.137   node1   <none>           <none>
trisla-sla-agent-layer-657c8c875b-pkspv   1/1     Running            0                68m    10.233.102.179   node1   <none>           <none>
trisla-ui-dashboard-dfb9ff9cc-jk4xb       1/1     Running            0                40h    10.233.102.129   node1   <none>           <none>
