NAME                                      READY   STATUS      RESTARTS   AGE
test-curl2                                0/1     Completed   0          6h20m
trisla-bc-nssmf-84995f7445-t2jd2          1/1     Running     0          27h
trisla-decision-engine-7d466f9f69-mmfj8   1/1     Running     0          18m
trisla-ml-nsmf-779d6cc88b-qn46j           1/1     Running     0          29h
trisla-nasp-adapter-74cd854849-4tmwv      1/1     Running     0          29h
trisla-portal-backend-565fcc7f45-kqd8b    1/1     Running     0          61m
trisla-portal-frontend-6dd98dc868-7vfqf   1/1     Running     0          61m
trisla-sem-csmf-848588fdd6-bww6x          1/1     Running     0          7m47s
trisla-sla-agent-layer-6b65566595-5f8kq   1/1     Running     0          18m
trisla-ui-dashboard-dfb9ff9cc-jk4xb       1/1     Running     0          29h
