NAME                                      READY   STATUS             RESTARTS        AGE     IP               NODE    NOMINATED NODE   READINESS GATES
test-curl2                                0/1     Completed          0               22h     10.233.75.41     node2   <none>           <none>
test-metrics-ml                           0/1     Completed          0               5h10m   10.233.75.36     node2   <none>           <none>
trisla-bc-nssmf-84995f7445-t2jd2          1/1     Running            0               43h     10.233.102.148   node1   <none>           <none>
trisla-besu-6db76bff8c-gjhnw              1/1     Running            8 (29m ago)     38m     10.233.75.11     node2   <none>           <none>
trisla-besu-76776f744c-vgj5p              0/1     CrashLoopBackOff   7 (7m55s ago)   16m     10.233.75.14     node2   <none>           <none>
trisla-decision-engine-554b6954b9-m5rtw   1/1     Running            0               81m     10.233.102.185   node1   <none>           <none>
trisla-ml-nsmf-779d6cc88b-wh4mr           1/1     Running            0               4h14m   10.233.102.130   node1   <none>           <none>
trisla-nasp-adapter-74cd854849-4tmwv      1/1     Running            0               45h     10.233.102.152   node1   <none>           <none>
trisla-portal-backend-565fcc7f45-kqd8b    1/1     Running            0               17h     10.233.75.22     node2   <none>           <none>
trisla-portal-frontend-6dd98dc868-7vfqf   1/1     Running            0               17h     10.233.75.63     node2   <none>           <none>
trisla-sla-agent-layer-57d8765d6-s2s9j    1/1     Running            0               81m     10.233.102.177   node1   <none>           <none>
trisla-ui-dashboard-dfb9ff9cc-jk4xb       1/1     Running            0               45h     10.233.102.129   node1   <none>           <none>
