NAME                             TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)                       AGE
trisla-bc-nssmf                  ClusterIP   10.233.39.215   <none>        8083/TCP                      45h
trisla-bc-nssmf-metrics          ClusterIP   10.233.30.108   <none>        8083/TCP                      22h
trisla-besu                      ClusterIP   10.233.37.164   <none>        8545/TCP,8546/TCP,30303/TCP   42m
trisla-decision-engine           ClusterIP   10.233.26.201   <none>        8082/TCP                      45h
trisla-decision-engine-metrics   ClusterIP   10.233.32.162   <none>        8082/TCP                      22h
trisla-ml-nsmf                   ClusterIP   10.233.28.209   <none>        8081/TCP                      45h
trisla-nasp-adapter              ClusterIP   10.233.6.35     <none>        8085/TCP                      45h
trisla-portal-backend            NodePort    10.233.46.159   <none>        8001:32002/TCP                21h
trisla-portal-frontend           NodePort    10.233.19.22    <none>        80:32001/TCP                  21h
trisla-sem-csmf                  ClusterIP   10.233.13.160   <none>        8080/TCP                      45h
trisla-sla-agent-layer           ClusterIP   10.233.4.83     <none>        8084/TCP                      45h
trisla-sla-agent-metrics         ClusterIP   10.233.25.234   <none>        8084/TCP                      22h
trisla-ui-dashboard              ClusterIP   10.233.4.125    <none>        80/TCP                        45h
