LAST SEEN   TYPE      REASON                  OBJECT                                   MESSAGE
52m         Warning   Unhealthy               pod/trisla-besu-76776f744c-wr9vm         Readiness probe failed: /bin/sh: 1: curl: not found
49m         Warning   BackOff                 pod/trisla-besu-79bd76f49d-ktmzs         Back-off restarting failed container trisla-besu in pod trisla-besu-79bd76f49d-ktmzs_trisla(49496b97-26fd-4779-a7c4-9e822a058216)
48m         Warning   BackOff                 pod/trisla-besu-76776f744c-wr9vm         Back-off restarting failed container trisla-besu in pod trisla-besu-76776f744c-wr9vm_trisla(2d8d1044-d1ff-4675-8554-ed4c9a2be90f)
46m         Normal    ProvisioningSucceeded   persistentvolumeclaim/trisla-besu-data   Successfully provisioned volume pvc-8e305a4d-fc4c-4f55-bc0e-a0b808c2c168
46m         Normal    Provisioning            persistentvolumeclaim/trisla-besu-data   External provisioner is provisioning volume for claim "trisla/trisla-besu-data"
46m         Normal    Pulled                  pod/trisla-besu-76776f744c-wwgpr         Container image "ghcr.io/abelisboa/trisla-besu:v3.7.11" already present on machine
46m         Normal    AddedInterface          pod/trisla-besu-76776f744c-wwgpr         Add eth0 [10.233.75.60/32] from k8s-pod-network
46m         Normal    Created                 pod/trisla-besu-76776f744c-wwgpr         Created container trisla-besu
46m         Normal    Started                 pod/trisla-besu-76776f744c-wwgpr         Started container trisla-besu
45m         Warning   Unhealthy               pod/trisla-besu-76776f744c-wwgpr         Readiness probe failed: /bin/sh: 1: curl: not found
45m         Normal    Killing                 pod/trisla-besu-76776f744c-wwgpr         Stopping container trisla-besu
45m         Normal    Provisioning            persistentvolumeclaim/trisla-besu-data   External provisioner is provisioning volume for claim "trisla/trisla-besu-data"
45m         Normal    ProvisioningSucceeded   persistentvolumeclaim/trisla-besu-data   Successfully provisioned volume pvc-6a78eeae-097f-46af-92ff-90e70bca9354
45m         Normal    Created                 pod/trisla-besu-76776f744c-cdh4m         Created container trisla-besu
45m         Normal    AddedInterface          pod/trisla-besu-76776f744c-cdh4m         Add eth0 [10.233.75.12/32] from k8s-pod-network
45m         Normal    Pulled                  pod/trisla-besu-76776f744c-cdh4m         Container image "ghcr.io/abelisboa/trisla-besu:v3.7.11" already present on machine
45m         Normal    Started                 pod/trisla-besu-76776f744c-cdh4m         Started container trisla-besu
