NAMESPACE    NAME                                                                                      AGE
monitoring   servicemonitor.monitoring.coreos.com/bc-nssmf-monitor                                     32d
monitoring   servicemonitor.monitoring.coreos.com/decision-engine-monitor                              32d
monitoring   servicemonitor.monitoring.coreos.com/monitoring-grafana                                   85d
monitoring   servicemonitor.monitoring.coreos.com/monitoring-kube-prometheus-alertmanager              85d
monitoring   servicemonitor.monitoring.coreos.com/monitoring-kube-prometheus-apiserver                 85d
monitoring   servicemonitor.monitoring.coreos.com/monitoring-kube-prometheus-coredns                   85d
monitoring   servicemonitor.monitoring.coreos.com/monitoring-kube-prometheus-kube-controller-manager   85d
monitoring   servicemonitor.monitoring.coreos.com/monitoring-kube-prometheus-kube-etcd                 85d
monitoring   servicemonitor.monitoring.coreos.com/monitoring-kube-prometheus-kube-proxy                85d
monitoring   servicemonitor.monitoring.coreos.com/monitoring-kube-prometheus-kube-scheduler            85d
monitoring   servicemonitor.monitoring.coreos.com/monitoring-kube-prometheus-kubelet                   85d
monitoring   servicemonitor.monitoring.coreos.com/monitoring-kube-prometheus-operator                  85d
monitoring   servicemonitor.monitoring.coreos.com/monitoring-kube-prometheus-prometheus                85d
monitoring   servicemonitor.monitoring.coreos.com/monitoring-kube-state-metrics                        85d
monitoring   servicemonitor.monitoring.coreos.com/monitoring-prometheus-node-exporter                  85d
monitoring   servicemonitor.monitoring.coreos.com/prometheus-grafana                                   84d
monitoring   servicemonitor.monitoring.coreos.com/prometheus-kube-prometheus-alertmanager              84d
monitoring   servicemonitor.monitoring.coreos.com/prometheus-kube-prometheus-apiserver                 84d
monitoring   servicemonitor.monitoring.coreos.com/prometheus-kube-prometheus-coredns                   84d
monitoring   servicemonitor.monitoring.coreos.com/prometheus-kube-prometheus-kube-controller-manager   84d
monitoring   servicemonitor.monitoring.coreos.com/prometheus-kube-prometheus-kube-etcd                 84d
monitoring   servicemonitor.monitoring.coreos.com/prometheus-kube-prometheus-kube-proxy                84d
monitoring   servicemonitor.monitoring.coreos.com/prometheus-kube-prometheus-kube-scheduler            84d
monitoring   servicemonitor.monitoring.coreos.com/prometheus-kube-prometheus-kubelet                   84d
monitoring   servicemonitor.monitoring.coreos.com/prometheus-kube-prometheus-operator                  84d
monitoring   servicemonitor.monitoring.coreos.com/prometheus-kube-prometheus-prometheus                84d
monitoring   servicemonitor.monitoring.coreos.com/prometheus-kube-state-metrics                        84d
monitoring   servicemonitor.monitoring.coreos.com/prometheus-prometheus-node-exporter                  84d
monitoring   servicemonitor.monitoring.coreos.com/sla-agent-monitor                                    32d
monitoring   servicemonitor.monitoring.coreos.com/trisla-traffic-exporter                              14h
