NAME                                                     READY   STATUS    RESTARTS      AGE   IP               NODE     NOMINATED NODE   READINESS GATES
alertmanager-monitoring-kube-prometheus-alertmanager-0   2/2     Running   0             30d   10.233.102.129   node1    <none>           <none>
alertmanager-prometheus-kube-prometheus-alertmanager-0   2/2     Running   0             30d   10.233.102.185   node1    <none>           <none>
monitoring-grafana-7484859bc9-xf669                      3/3     Running   0             30d   10.233.102.174   node1    <none>           <none>
monitoring-kube-prometheus-operator-59986b9fc7-tjqdl     1/1     Running   4 (30d ago)   30d   10.233.102.181   node1    <none>           <none>
monitoring-kube-state-metrics-66db6b8958-cb4kd           1/1     Running   0             30d   10.233.102.167   node1    <none>           <none>
monitoring-prometheus-node-exporter-fkkbs                1/1     Running   0             85d   192.168.10.15    node2    <none>           <none>
monitoring-prometheus-node-exporter-kg996                1/1     Running   2 (83d ago)   85d   192.168.10.16    node1    <none>           <none>
prometheus-grafana-745999df4b-kttj6                      3/3     Running   0             30d   10.233.102.151   node1    <none>           <none>
prometheus-kube-prometheus-operator-cc7788f6f-f8thp      1/1     Running   0             30d   10.233.102.144   node1    <none>           <none>
prometheus-kube-state-metrics-5f676f8f8b-lctt5           1/1     Running   1 (30d ago)   30d   10.233.102.179   node1    <none>           <none>
prometheus-monitoring-kube-prometheus-prometheus-0       2/2     Running   0             30d   10.233.102.165   node1    <none>           <none>
prometheus-prometheus-kube-prometheus-prometheus-0       2/2     Running   0             30d   10.233.102.160   node1    <none>           <none>
prometheus-prometheus-node-exporter-45qtq                0/1     Pending   0             84d   <none>           <none>   <none>           <none>
prometheus-prometheus-node-exporter-rrt5f                0/1     Pending   0             84d   <none>           <none>   <none>           <none>
