0 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali0078a35b282', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
1 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali008c732ea5a', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
2 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali00a58b37de9', 'endpoint': 'http-metrics', 'instance': '192.168.10.15:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-fkkbs', 'service': 'monitoring-prometheus-node-exporter'}
3 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali00ec68bd765', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
4 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali02ee566bae5', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
5 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali02ff8f7b167', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
6 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali03ba6829596', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
7 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali0446b82d548', 'endpoint': 'http-metrics', 'instance': '192.168.10.15:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-fkkbs', 'service': 'monitoring-prometheus-node-exporter'}
8 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali04c97dd5088', 'endpoint': 'http-metrics', 'instance': '192.168.10.15:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-fkkbs', 'service': 'monitoring-prometheus-node-exporter'}
9 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali0523deb9e28', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
10 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali06498ce0aae', 'endpoint': 'http-metrics', 'instance': '192.168.10.15:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-fkkbs', 'service': 'monitoring-prometheus-node-exporter'}
11 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali069a20e9b76', 'endpoint': 'http-metrics', 'instance': '192.168.10.15:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-fkkbs', 'service': 'monitoring-prometheus-node-exporter'}
12 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali06a724eede7', 'endpoint': 'http-metrics', 'instance': '192.168.10.15:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-fkkbs', 'service': 'monitoring-prometheus-node-exporter'}
13 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali06e467a837e', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
14 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali0814ad30edb', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
15 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali0875324f5c9', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
16 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali08757c7a4f0', 'endpoint': 'http-metrics', 'instance': '192.168.10.15:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-fkkbs', 'service': 'monitoring-prometheus-node-exporter'}
17 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali08eedad9288', 'endpoint': 'http-metrics', 'instance': '192.168.10.15:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-fkkbs', 'service': 'monitoring-prometheus-node-exporter'}
18 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali09f47e2288c', 'endpoint': 'http-metrics', 'instance': '192.168.10.15:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-fkkbs', 'service': 'monitoring-prometheus-node-exporter'}
19 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali0abf8ecb06f', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
20 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali0b64313f17e', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
21 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali0bb18b269c5', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
22 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali0ca2f5142c4', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
23 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali0e189d86f44', 'endpoint': 'http-metrics', 'instance': '192.168.10.15:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-fkkbs', 'service': 'monitoring-prometheus-node-exporter'}
24 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali106cb8af1d0', 'endpoint': 'http-metrics', 'instance': '192.168.10.15:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-fkkbs', 'service': 'monitoring-prometheus-node-exporter'}
25 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali107263d3c06', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
26 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali10940513a34', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
27 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali10a93d0ce5d', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
28 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali10ae668445b', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
29 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali10f2c59f590', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
30 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali113521614f8', 'endpoint': 'http-metrics', 'instance': '192.168.10.15:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-fkkbs', 'service': 'monitoring-prometheus-node-exporter'}
31 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali12aa24d0dc8', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
32 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali141791e88c3', 'endpoint': 'http-metrics', 'instance': '192.168.10.15:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-fkkbs', 'service': 'monitoring-prometheus-node-exporter'}
33 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali147ec1a4e79', 'endpoint': 'http-metrics', 'instance': '192.168.10.15:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-fkkbs', 'service': 'monitoring-prometheus-node-exporter'}
34 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali156012f5e44', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
35 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali15fac70572f', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
36 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali1638d5e2557', 'endpoint': 'http-metrics', 'instance': '192.168.10.15:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-fkkbs', 'service': 'monitoring-prometheus-node-exporter'}
37 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali163b70b7ab6', 'endpoint': 'http-metrics', 'instance': '192.168.10.15:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-fkkbs', 'service': 'monitoring-prometheus-node-exporter'}
38 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali17e601e1dda', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
39 {'__name__': 'node_network_transmit_bytes_total', 'container': 'node-exporter', 'device': 'cali19aece95cf3', 'endpoint': 'http-metrics', 'instance': '192.168.10.16:9100', 'job': 'node-exporter', 'namespace': 'monitoring', 'pod': 'monitoring-prometheus-node-exporter-kg996', 'service': 'monitoring-prometheus-node-exporter'}
