NAME                                      READY   STATUS             RESTARTS         AGE     IP               NODE    NOMINATED NODE   READINESS GATES
http-diag                                 0/1     Completed          0                5d11h   10.233.75.23     node2   <none>           <none>
kafka-c948b8d64-jgmz5                     1/1     Running            0                5d23h   10.233.75.59     node2   <none>           <none>
registry-sanity                           0/1     Completed          0                27d     10.233.102.189   node1   <none>           <none>
registry-sanity-verify                    0/1     Completed          0                27d     10.233.75.15     node2   <none>           <none>
trisla-bc-nssmf-7d99b476b7-r75jl          1/1     Running            0                6d      10.233.102.155   node1   <none>           <none>
trisla-besu-6448cb6bc6-mxb84              1/1     Running            0                27d     10.233.75.56     node2   <none>           <none>
trisla-besu-998757d8d-l88v7               0/1     CrashLoopBackOff   53 (4m26s ago)   4h8m    10.233.75.10     node2   <none>           <none>
trisla-decision-engine-649cb78c86-cr4vx   1/1     Running            0                4h8m    10.233.102.158   node1   <none>           <none>
trisla-ml-nsmf-545ff48fb7-tmh58           1/1     Running            0                23m     10.233.102.138   node1   <none>           <none>
trisla-nasp-adapter-5688bf5f8f-x4fm2      1/1     Running            0                8d      10.233.102.190   node1   <none>           <none>
trisla-nasp-adapter-664894c59c-tv6m8      0/1     CrashLoopBackOff   179 (47s ago)    11h     10.233.102.146   node1   <none>           <none>
trisla-portal-backend-79b64b6447-sdk9g    1/1     Running            0                21m     10.233.75.55     node2   <none>           <none>
trisla-portal-frontend-7dffd67779-mql7r   1/1     Running            0                150m    10.233.75.12     node2   <none>           <none>
trisla-sem-csmf-5f689d75d6-gbcb6          1/1     Running            0                11h     10.233.102.150   node1   <none>           <none>
trisla-sla-agent-layer-6d944c889c-ntwqc   1/1     Running            0                11h     10.233.102.145   node1   <none>           <none>
trisla-ui-dashboard-85755bf748-t9zfs      1/1     Running            0                11h     10.233.102.149   node1   <none>           <none>
