NAME                                      READY   STATUS             RESTARTS          AGE     IP               NODE    NOMINATED NODE   READINESS GATES
http-diag                                 0/1     Completed          0                 5d13h   10.233.75.23     node2   <none>           <none>
kafka-c948b8d64-jgmz5                     1/1     Running            0                 6d1h    10.233.75.59     node2   <none>           <none>
ml-curl-20260119                          0/1     Error              0                 96m     10.233.75.27     node2   <none>           <none>
registry-sanity                           0/1     Completed          0                 27d     10.233.102.189   node1   <none>           <none>
registry-sanity-verify                    0/1     Completed          0                 27d     10.233.75.15     node2   <none>           <none>
trisla-bc-nssmf-7d99b476b7-r75jl          1/1     Running            0                 6d3h    10.233.102.155   node1   <none>           <none>
trisla-besu-6448cb6bc6-mxb84              1/1     Running            0                 27d     10.233.75.56     node2   <none>           <none>
trisla-besu-998757d8d-l88v7               0/1     CrashLoopBackOff   81 (6m57s ago)    6h34m   10.233.75.10     node2   <none>           <none>
trisla-decision-engine-687c6c95f7-bqq4z   1/1     Running            0                 10m     10.233.102.138   node1   <none>           <none>
trisla-ml-nsmf-599749957-hnbn5            1/2     CrashLoopBackOff   6 (3m54s ago)     10m     10.233.102.189   node1   <none>           <none>
trisla-nasp-adapter-5688bf5f8f-x4fm2      1/1     Running            0                 8d      10.233.102.190   node1   <none>           <none>
trisla-nasp-adapter-664894c59c-tv6m8      0/1     Running            216 (5m50s ago)   13h     10.233.102.146   node1   <none>           <none>
trisla-portal-backend-7498b598f7-hm7gw    1/1     Running            0                 141m    10.233.75.28     node2   <none>           <none>
trisla-portal-frontend-7dffd67779-mql7r   1/1     Running            0                 4h55m   10.233.75.12     node2   <none>           <none>
trisla-sem-csmf-9f56dcb9b-q72ck           1/1     Running            0                 10m     10.233.102.183   node1   <none>           <none>
trisla-sla-agent-layer-6d944c889c-ntwqc   1/1     Running            0                 13h     10.233.102.145   node1   <none>           <none>
trisla-ui-dashboard-85755bf748-t9zfs      1/1     Running            0                 13h     10.233.102.149   node1   <none>           <none>
