LAST SEEN   TYPE      REASON                            OBJECT                                         MESSAGE
59m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-nasp-adapter-664894c59c-tv6m8       Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
58m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-ml-nsmf-599749957-hnbn5             Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
58m         Normal    SuccessfulCreate                  replicaset/trisla-ml-nsmf-599749957            Created pod: trisla-ml-nsmf-599749957-pf9bq
58m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-sem-csmf-9f56dcb9b-q72ck            Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
58m         Normal    Scheduled                         pod/trisla-ml-nsmf-599749957-pf9bq             Successfully assigned trisla/trisla-ml-nsmf-599749957-pf9bq to node1
58m         Normal    AddedInterface                    pod/trisla-ml-nsmf-599749957-pf9bq             Add eth0 [10.233.102.156/32] from k8s-pod-network
58m         Normal    Pulling                           pod/trisla-ml-nsmf-599749957-pf9bq             Pulling image "ghcr.io/abelisboa/trisla-ml-nsmf:v3.8.1"
58m         Normal    Created                           pod/trisla-ml-nsmf-599749957-pf9bq             Created container trisla-ml-nsmf
58m         Normal    Started                           pod/trisla-ml-nsmf-599749957-pf9bq             Started container trisla-ml-nsmf
58m         Normal    Pulled                            pod/trisla-ml-nsmf-599749957-pf9bq             Successfully pulled image "ghcr.io/abelisboa/trisla-ml-nsmf:v3.8.1" in 519ms (519ms including waiting). Image size: 373077607 bytes.
58m         Normal    SuccessfulCreate                  replicaset/trisla-ml-nsmf-79f5c96dcd           Created pod: trisla-ml-nsmf-79f5c96dcd-tztxp
58m         Normal    Scheduled                         pod/trisla-ml-nsmf-79f5c96dcd-tztxp            Successfully assigned trisla/trisla-ml-nsmf-79f5c96dcd-tztxp to node1
58m         Normal    ScalingReplicaSet                 deployment/trisla-ml-nsmf                      Scaled up replica set trisla-ml-nsmf-79f5c96dcd to 1
58m         Normal    Started                           pod/trisla-ml-nsmf-79f5c96dcd-tztxp            Started container ml-nsmf
58m         Normal    Created                           pod/trisla-ml-nsmf-79f5c96dcd-tztxp            Created container ml-nsmf
58m         Normal    Pulled                            pod/trisla-ml-nsmf-79f5c96dcd-tztxp            Container image "ghcr.io/abelisboa/trisla-ml-nsmf:v3.7.29" already present on machine
58m         Normal    AddedInterface                    pod/trisla-ml-nsmf-79f5c96dcd-tztxp            Add eth0 [10.233.102.158/32] from k8s-pod-network
58m         Normal    Pulled                            pod/trisla-ml-nsmf-599749957-pf9bq             Container image "ghcr.io/abelisboa/trisla-ml-nsmf:v3.7.29" already present on machine
58m         Normal    Created                           pod/trisla-ml-nsmf-599749957-pf9bq             Created container ml-nsmf
58m         Normal    Started                           pod/trisla-ml-nsmf-599749957-pf9bq             Started container ml-nsmf
57m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-ml-nsmf-599749957-pf9bq             Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
57m         Warning   BackOff                           pod/trisla-ml-nsmf-599749957-pf9bq             Back-off restarting failed container ml-nsmf in pod trisla-ml-nsmf-599749957-pf9bq_trisla(c197732e-4642-461c-92d8-40e8927ff68c)
57m         Normal    Killing                           pod/trisla-ml-nsmf-599749957-pf9bq             Stopping container trisla-ml-nsmf
57m         Normal    ScalingReplicaSet                 deployment/trisla-ml-nsmf                      Scaled down replica set trisla-ml-nsmf-599749957 to 0 from 1
57m         Normal    SuccessfulDelete                  replicaset/trisla-ml-nsmf-599749957            Deleted pod: trisla-ml-nsmf-599749957-pf9bq
57m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-ml-nsmf-79f5c96dcd-tztxp            Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
57m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-decision-engine-687c6c95f7-bqq4z    Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
57m         Normal    SuccessfulCreate                  replicaset/trisla-ml-nsmf-79d68dc4c5           Created pod: trisla-ml-nsmf-79d68dc4c5-48prv
57m         Normal    Scheduled                         pod/trisla-ml-nsmf-79d68dc4c5-48prv            Successfully assigned trisla/trisla-ml-nsmf-79d68dc4c5-48prv to node1
57m         Normal    SuccessfulCreate                  replicaset/trisla-decision-engine-5d756bf98b   Created pod: trisla-decision-engine-5d756bf98b-m6kfl
57m         Normal    SuccessfulDelete                  replicaset/trisla-decision-engine-7d64cfbbbb   Deleted pod: trisla-decision-engine-7d64cfbbbb-pwmhm
57m         Normal    ScalingReplicaSet                 deployment/trisla-decision-engine              Scaled up replica set trisla-decision-engine-7d64cfbbbb to 1
57m         Normal    Scheduled                         pod/trisla-decision-engine-7d64cfbbbb-pwmhm    Successfully assigned trisla/trisla-decision-engine-7d64cfbbbb-pwmhm to node1
57m         Normal    SuccessfulCreate                  replicaset/trisla-decision-engine-7d64cfbbbb   Created pod: trisla-decision-engine-7d64cfbbbb-pwmhm
57m         Normal    Scheduled                         pod/trisla-decision-engine-5d756bf98b-m6kfl    Successfully assigned trisla/trisla-decision-engine-5d756bf98b-m6kfl to node1
57m         Normal    ScalingReplicaSet                 deployment/trisla-ml-nsmf                      Scaled up replica set trisla-ml-nsmf-79d68dc4c5 to 1
57m         Normal    SuccessfulCreate                  replicaset/trisla-sem-csmf-f8d747657           Created pod: trisla-sem-csmf-f8d747657-spmtd
57m         Normal    Scheduled                         pod/trisla-sem-csmf-f8d747657-spmtd            Successfully assigned trisla/trisla-sem-csmf-f8d747657-spmtd to node1
57m         Normal    ScalingReplicaSet                 deployment/trisla-decision-engine              Scaled up replica set trisla-decision-engine-5d756bf98b to 1 from 0
57m         Normal    ScalingReplicaSet                 deployment/trisla-sem-csmf                     Scaled up replica set trisla-sem-csmf-f8d747657 to 1
57m         Normal    ScalingReplicaSet                 deployment/trisla-decision-engine              Scaled down replica set trisla-decision-engine-7d64cfbbbb to 0 from 1
56m         Normal    Pulled                            pod/trisla-decision-engine-5d756bf98b-m6kfl    Container image "ghcr.io/abelisboa/trisla-decision-engine:v3.7.29" already present on machine
56m         Normal    Started                           pod/trisla-decision-engine-5d756bf98b-m6kfl    Started container decision-engine
56m         Normal    AddedInterface                    pod/trisla-ml-nsmf-79d68dc4c5-48prv            Add eth0 [10.233.102.150/32] from k8s-pod-network
56m         Normal    Pulled                            pod/trisla-ml-nsmf-79d68dc4c5-48prv            Container image "ghcr.io/abelisboa/trisla-ml-nsmf:v3.7.29" already present on machine
56m         Normal    Created                           pod/trisla-ml-nsmf-79d68dc4c5-48prv            Created container ml-nsmf
56m         Normal    Started                           pod/trisla-ml-nsmf-79d68dc4c5-48prv            Started container ml-nsmf
56m         Normal    AddedInterface                    pod/trisla-sem-csmf-f8d747657-spmtd            Add eth0 [10.233.102.164/32] from k8s-pod-network
56m         Normal    Pulling                           pod/trisla-sem-csmf-f8d747657-spmtd            Pulling image "ghcr.io/abelisboa/trisla-sem-csmf:v3.7.29"
56m         Normal    AddedInterface                    pod/trisla-decision-engine-5d756bf98b-m6kfl    Add eth0 [10.233.102.184/32] from k8s-pod-network
56m         Normal    Created                           pod/trisla-decision-engine-5d756bf98b-m6kfl    Created container decision-engine
56m         Normal    Started                           pod/trisla-sem-csmf-f8d747657-spmtd            Started container sem-csmf
56m         Normal    Created                           pod/trisla-sem-csmf-f8d747657-spmtd            Created container sem-csmf
56m         Normal    Pulled                            pod/trisla-sem-csmf-f8d747657-spmtd            Successfully pulled image "ghcr.io/abelisboa/trisla-sem-csmf:v3.7.29" in 530ms (530ms including waiting). Image size: 289679031 bytes.
56m         Normal    Killing                           pod/trisla-ml-nsmf-79f5c96dcd-tztxp            Stopping container ml-nsmf
56m         Warning   Unhealthy                         pod/trisla-decision-engine-5d756bf98b-m6kfl    Readiness probe failed: Get "http://10.233.102.184:8082/health": dial tcp 10.233.102.184:8082: connect: connection refused
56m         Warning   Unhealthy                         pod/trisla-ml-nsmf-79f5c96dcd-tztxp            Readiness probe failed: Get "http://10.233.102.158:8081/health": dial tcp 10.233.102.158:8081: connect: connection refused
56m         Normal    SuccessfulDelete                  replicaset/trisla-ml-nsmf-79f5c96dcd           Deleted pod: trisla-ml-nsmf-79f5c96dcd-tztxp
56m         Normal    ScalingReplicaSet                 deployment/trisla-ml-nsmf                      Scaled down replica set trisla-ml-nsmf-79f5c96dcd to 0 from 1
56m         Normal    ScalingReplicaSet                 deployment/trisla-decision-engine              Scaled down replica set trisla-decision-engine-687c6c95f7 to 0 from 1
56m         Normal    SuccessfulDelete                  replicaset/trisla-sem-csmf-9f56dcb9b           Deleted pod: trisla-sem-csmf-9f56dcb9b-q72ck
56m         Normal    ScalingReplicaSet                 deployment/trisla-sem-csmf                     Scaled down replica set trisla-sem-csmf-9f56dcb9b to 0 from 1
56m         Normal    SuccessfulDelete                  replicaset/trisla-decision-engine-687c6c95f7   Deleted pod: trisla-decision-engine-687c6c95f7-bqq4z
56m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-sla-agent-layer-6d944c889c-ntwqc    Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
56m         Warning   Unhealthy                         pod/trisla-bc-nssmf-856859f696-dwpzw           Readiness probe failed: Get "http://10.233.102.168:8083/health": dial tcp 10.233.102.168:8083: connect: connection refused
55m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-sem-csmf-f8d747657-spmtd            Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
55m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-decision-engine-5d756bf98b-m6kfl    Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
55m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-ml-nsmf-79d68dc4c5-48prv            Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
54m         Normal    SuccessfulCreate                  replicaset/trisla-decision-engine-67cf4cf4d9   Created pod: trisla-decision-engine-67cf4cf4d9-d6kvj
54m         Normal    Pulled                            pod/trisla-ml-nsmf-7c858859c4-rxlmr            Container image "ghcr.io/abelisboa/trisla-ml-nsmf:v3.7.29" already present on machine
54m         Normal    SuccessfulCreate                  replicaset/trisla-ml-nsmf-7c858859c4           Created pod: trisla-ml-nsmf-7c858859c4-rxlmr
54m         Normal    AddedInterface                    pod/trisla-ml-nsmf-7c858859c4-rxlmr            Add eth0 [10.233.102.155/32] from k8s-pod-network
54m         Normal    Started                           pod/trisla-ml-nsmf-7c858859c4-rxlmr            Started container ml-nsmf
54m         Normal    Scheduled                         pod/trisla-ml-nsmf-7c858859c4-rxlmr            Successfully assigned trisla/trisla-ml-nsmf-7c858859c4-rxlmr to node1
54m         Normal    ScalingReplicaSet                 deployment/trisla-decision-engine              Scaled up replica set trisla-decision-engine-67cf4cf4d9 to 1
54m         Normal    Scheduled                         pod/trisla-decision-engine-67cf4cf4d9-d6kvj    Successfully assigned trisla/trisla-decision-engine-67cf4cf4d9-d6kvj to node1
54m         Normal    AddedInterface                    pod/trisla-decision-engine-67cf4cf4d9-d6kvj    Add eth0 [10.233.102.141/32] from k8s-pod-network
54m         Normal    Created                           pod/trisla-ml-nsmf-7c858859c4-rxlmr            Created container ml-nsmf
54m         Normal    Pulled                            pod/trisla-decision-engine-67cf4cf4d9-d6kvj    Container image "ghcr.io/abelisboa/trisla-decision-engine:v3.7.29" already present on machine
54m         Normal    ScalingReplicaSet                 deployment/trisla-ml-nsmf                      Scaled up replica set trisla-ml-nsmf-7c858859c4 to 1
54m         Normal    Scheduled                         pod/trisla-sem-csmf-74fdf6dfd-ftrbg            Successfully assigned trisla/trisla-sem-csmf-74fdf6dfd-ftrbg to node1
54m         Normal    AddedInterface                    pod/trisla-sem-csmf-74fdf6dfd-ftrbg            Add eth0 [10.233.102.161/32] from k8s-pod-network
54m         Normal    Pulling                           pod/trisla-sem-csmf-74fdf6dfd-ftrbg            Pulling image "ghcr.io/abelisboa/trisla-sem-csmf:v3.7.29"
54m         Normal    Created                           pod/trisla-decision-engine-67cf4cf4d9-d6kvj    Created container decision-engine
54m         Normal    SuccessfulCreate                  replicaset/trisla-sem-csmf-74fdf6dfd           Created pod: trisla-sem-csmf-74fdf6dfd-ftrbg
54m         Normal    ScalingReplicaSet                 deployment/trisla-sem-csmf                     Scaled up replica set trisla-sem-csmf-74fdf6dfd to 1
54m         Normal    Started                           pod/trisla-decision-engine-67cf4cf4d9-d6kvj    Started container decision-engine
54m         Normal    Started                           pod/trisla-sem-csmf-74fdf6dfd-ftrbg            Started container sem-csmf
54m         Normal    Created                           pod/trisla-sem-csmf-74fdf6dfd-ftrbg            Created container sem-csmf
54m         Normal    Pulled                            pod/trisla-sem-csmf-74fdf6dfd-ftrbg            Successfully pulled image "ghcr.io/abelisboa/trisla-sem-csmf:v3.7.29" in 520ms (520ms including waiting). Image size: 289679031 bytes.
54m         Normal    ScalingReplicaSet                 deployment/trisla-decision-engine              Scaled down replica set trisla-decision-engine-5d756bf98b to 0 from 1
54m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-ml-nsmf-7c858859c4-rxlmr            Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
54m         Normal    ScalingReplicaSet                 deployment/trisla-ml-nsmf                      Scaled down replica set trisla-ml-nsmf-79d68dc4c5 to 0 from 1
54m         Normal    Killing                           pod/trisla-ml-nsmf-79d68dc4c5-48prv            Stopping container ml-nsmf
54m         Normal    SuccessfulDelete                  replicaset/trisla-ml-nsmf-79d68dc4c5           Deleted pod: trisla-ml-nsmf-79d68dc4c5-48prv
54m         Normal    Killing                           pod/trisla-decision-engine-5d756bf98b-m6kfl    Stopping container decision-engine
54m         Normal    SuccessfulDelete                  replicaset/trisla-decision-engine-5d756bf98b   Deleted pod: trisla-decision-engine-5d756bf98b-m6kfl
54m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-decision-engine-67cf4cf4d9-d6kvj    Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
54m         Warning   FailedToRetrieveImagePullSecret   pod/trisla-sem-csmf-74fdf6dfd-ftrbg            Unable to retrieve some image pull secrets (ghcr-secret); attempting to pull the image may not succeed.
54m         Normal    ScalingReplicaSet                 deployment/trisla-sem-csmf                     Scaled down replica set trisla-sem-csmf-f8d747657 to 0 from 1
