NAME                     READY   UP-TO-DATE   AVAILABLE   AGE     CONTAINERS               IMAGES                                                                             SELECTOR
kafka                    1/1     1            1           6d11h   kafka                    apache/kafka:latest                                                                app=kafka
trisla-bc-nssmf          1/1     1            1           9h      bc-nssmf                 ghcr.io/abelisboa/trisla-besu:v3.7.29                                              app=trisla-bc-nssmf,app.kubernetes.io/instance=trisla,app.kubernetes.io/name=trisla
trisla-decision-engine   1/1     1            1           31d     decision-engine          ghcr.io/abelisboa/trisla-decision-engine:v3.7.29                                   app=trisla-decision-engine,app.kubernetes.io/instance=trisla,app.kubernetes.io/name=trisla
trisla-ml-nsmf           0/1     1            0           31d     ml-nsmf,trisla-ml-nsmf   ghcr.io/abelisboa/trisla-ml-nsmf:v3.7.29,ghcr.io/abelisboa/trisla-ml-nsmf:v3.8.1   app=trisla-ml-nsmf,app.kubernetes.io/instance=trisla,app.kubernetes.io/name=trisla
trisla-nasp-adapter      1/1     1            1           31d     nasp-adapter             ghcr.io/abelisboa/trisla-nasp-adapter:v3.7.29                                      app=trisla-nasp-adapter,app.kubernetes.io/instance=trisla,app.kubernetes.io/name=trisla
trisla-portal-backend    1/1     1            1           30d     backend                  ghcr.io/abelisboa/trisla-portal-backend:v3.8.1                                     app=trisla-portal-backend
trisla-portal-frontend   1/1     1            1           30d     frontend                 ghcr.io/abelisboa/trisla-portal-frontend:v3.8.1                                    app=trisla-portal-frontend
trisla-sem-csmf          1/1     1            1           27d     sem-csmf                 ghcr.io/abelisboa/trisla-sem-csmf:v3.7.29                                          app=trisla-sem-csmf,app.kubernetes.io/instance=trisla,app.kubernetes.io/name=trisla
trisla-sla-agent-layer   1/1     1            1           31d     sla-agent-layer          ghcr.io/abelisboa/trisla-sla-agent-layer:v3.7.29                                   app=trisla-sla-agent-layer,app.kubernetes.io/instance=trisla,app.kubernetes.io/name=trisla
trisla-ui-dashboard      1/1     1            1           31d     ui-dashboard             ghcr.io/abelisboa/trisla-ui-dashboard:v3.7.29                                      app=trisla-ui-dashboard,app.kubernetes.io/instance=trisla,app.kubernetes.io/name=trisla
