NAMESPACE    NAME                                                 AGE
monitoring   bc-nssmf-monitor                                     32d
monitoring   decision-engine-monitor                              32d
monitoring   monitoring-grafana                                   85d
monitoring   monitoring-kube-prometheus-alertmanager              85d
monitoring   monitoring-kube-prometheus-apiserver                 85d
monitoring   monitoring-kube-prometheus-coredns                   85d
monitoring   monitoring-kube-prometheus-kube-controller-manager   85d
monitoring   monitoring-kube-prometheus-kube-etcd                 85d
monitoring   monitoring-kube-prometheus-kube-proxy                85d
monitoring   monitoring-kube-prometheus-kube-scheduler            85d
monitoring   monitoring-kube-prometheus-kubelet                   85d
monitoring   monitoring-kube-prometheus-operator                  85d
monitoring   monitoring-kube-prometheus-prometheus                85d
monitoring   monitoring-kube-state-metrics                        85d
monitoring   monitoring-prometheus-node-exporter                  85d
monitoring   prometheus-grafana                                   84d
monitoring   prometheus-kube-prometheus-alertmanager              84d
monitoring   prometheus-kube-prometheus-apiserver                 84d
monitoring   prometheus-kube-prometheus-coredns                   84d
monitoring   prometheus-kube-prometheus-kube-controller-manager   84d
monitoring   prometheus-kube-prometheus-kube-etcd                 84d
monitoring   prometheus-kube-prometheus-kube-proxy                84d
monitoring   prometheus-kube-prometheus-kube-scheduler            84d
monitoring   prometheus-kube-prometheus-kubelet                   84d
monitoring   prometheus-kube-prometheus-operator                  84d
monitoring   prometheus-kube-prometheus-prometheus                84d
monitoring   prometheus-kube-state-metrics                        84d
monitoring   prometheus-prometheus-node-exporter                  84d
monitoring   sla-agent-monitor                                    32d
monitoring   trisla-traffic-exporter                              68m
