NAME                                      READY   STATUS             RESTARTS   AGE     IP               NODE    NOMINATED NODE   READINESS GATES
curltest-decision-final                   0/1     Completed          0          30h     10.233.75.35     node2   <none>           <none>
curltest-decision4                        0/1     Completed          0          30h     10.233.75.5      node2   <none>           <none>
http-diag                                 0/1     Completed          0          7d11h   10.233.75.23     node2   <none>           <none>
kafka-c948b8d64-jgmz5                     1/1     Running            0          7d23h   10.233.75.59     node2   <none>           <none>
ml-curl-20260119                          0/1     Error              0          47h     10.233.75.27     node2   <none>           <none>
registry-sanity                           0/1     Completed          0          29d     10.233.102.189   node1   <none>           <none>
registry-sanity-verify                    0/1     Completed          0          29d     10.233.75.15     node2   <none>           <none>
trisla-bc-nssmf-7c8ff9c4fc-kwmqd          1/1     Running            0          45h     10.233.102.178   node1   <none>           <none>
trisla-bc-nssmf-cb7f767cd-24s6k           0/1     ImagePullBackOff   0          164m    10.233.102.156   node1   <none>           <none>
trisla-besu-59f9fcf4c-7gdd7               1/1     Running            0          124m    10.233.75.57     node2   <none>           <none>
trisla-decision-engine-6957dc56fb-jsxxs   1/1     Running            0          8h      10.233.102.153   node1   <none>           <none>
trisla-iperf3-client-8gx9k                1/1     Running            0          89m     10.233.75.32     node2   <none>           <none>
trisla-iperf3-server-5fff5c9ff-fg775      1/1     Running            0          89m     10.233.75.27     node2   <none>           <none>
trisla-ml-nsmf-6bc9fdf647-rjlp5           1/1     Running            0          4h46m   10.233.102.145   node1   <none>           <none>
trisla-nasp-adapter-5688bf5f8f-x4fm2      1/1     Running            0          10d     10.233.102.190   node1   <none>           <none>
trisla-nasp-adapter-6657dfdc7d-rfssm      0/1     ImagePullBackOff   0          23h     10.233.102.183   node1   <none>           <none>
trisla-portal-backend-7498b598f7-hm7gw    1/1     Running            0          2d      10.233.75.28     node2   <none>           <none>
trisla-portal-frontend-7dffd67779-mql7r   1/1     Running            0          2d2h    10.233.75.12     node2   <none>           <none>
trisla-sem-csmf-5dfc9887b-bbrh7           0/1     ImagePullBackOff   0          23h     10.233.102.161   node1   <none>           <none>
trisla-sem-csmf-95dfc79f4-zpscg           1/1     Running            0          35h     10.233.102.164   node1   <none>           <none>
trisla-sla-agent-layer-b8c7b6fdc-x6fbb    1/1     Running            0          35h     10.233.102.141   node1   <none>           <none>
trisla-sla-agent-layer-bc8555bcf-6dslh    0/1     ImagePullBackOff   0          23h     10.233.102.184   node1   <none>           <none>
trisla-traffic-exporter-dd58cb5bf-6szpr   1/1     Running            0          80m     10.233.75.20     node2   <none>           <none>
trisla-ui-dashboard-64579b5946-vdkm8      0/1     ImagePullBackOff   0          23h     10.233.102.138   node1   <none>           <none>
trisla-ui-dashboard-85755bf748-t9zfs      1/1     Running            0          2d11h   10.233.102.149   node1   <none>           <none>
