NAME                                      READY   STATUS             RESTARTS   AGE
curltest-decision-final                   0/1     Completed          0          21h
curltest-decision4                        0/1     Completed          0          21h
curltest2                                 0/1     Completed          0          24h
http-diag                                 0/1     Completed          0          7d2h
kafka-c948b8d64-jgmz5                     1/1     Running            0          7d14h
ml-curl-20260119                          0/1     Error              0          38h
registry-sanity                           0/1     Completed          0          29d
registry-sanity-verify                    0/1     Completed          0          29d
trisla-bc-nssmf-59b5d676ff-h6ngq          0/1     ErrImagePull       0          14h
trisla-bc-nssmf-7c8ff9c4fc-kwmqd          1/1     Running            0          37h
trisla-decision-engine-6957dc56fb-jsxxs   1/1     Running            0          90s
trisla-ml-nsmf-6ffd7bb644-kc9xx           1/1     Running            0          90s
trisla-nasp-adapter-5688bf5f8f-x4fm2      1/1     Running            0          9d
trisla-nasp-adapter-6657dfdc7d-rfssm      0/1     ImagePullBackOff   0          14h
trisla-portal-backend-7498b598f7-hm7gw    1/1     Running            0          39h
trisla-portal-frontend-7dffd67779-mql7r   1/1     Running            0          41h
trisla-sem-csmf-5dfc9887b-bbrh7           0/1     ImagePullBackOff   0          14h
trisla-sem-csmf-95dfc79f4-zpscg           1/1     Running            0          26h
trisla-sla-agent-layer-b8c7b6fdc-x6fbb    1/1     Running            0          26h
trisla-sla-agent-layer-bc8555bcf-6dslh    0/1     ErrImagePull       0          14h
trisla-ui-dashboard-64579b5946-vdkm8      0/1     ImagePullBackOff   0          14h
trisla-ui-dashboard-85755bf748-t9zfs      1/1     Running            0          2d2h
