NAME                                      READY   STATUS             RESTARTS        AGE     IP               NODE    NOMINATED NODE   READINESS GATES
curltest-decision-final                   0/1     Completed          0               21h     10.233.75.35     node2   <none>           <none>
curltest-decision4                        0/1     Completed          0               21h     10.233.75.5      node2   <none>           <none>
curltest2                                 0/1     Completed          0               24h     10.233.75.43     node2   <none>           <none>
http-diag                                 0/1     Completed          0               7d2h    10.233.75.23     node2   <none>           <none>
kafka-c948b8d64-jgmz5                     1/1     Running            0               7d14h   10.233.75.59     node2   <none>           <none>
ml-curl-20260119                          0/1     Error              0               38h     10.233.75.27     node2   <none>           <none>
registry-sanity                           0/1     Completed          0               29d     10.233.102.189   node1   <none>           <none>
registry-sanity-verify                    0/1     Completed          0               29d     10.233.75.15     node2   <none>           <none>
trisla-bc-nssmf-59b5d676ff-h6ngq          0/1     ImagePullBackOff   0               14h     10.233.102.189   node1   <none>           <none>
trisla-bc-nssmf-7c8ff9c4fc-kwmqd          1/1     Running            0               36h     10.233.102.178   node1   <none>           <none>
trisla-decision-engine-575dc8866b-4pln4   0/1     CrashLoopBackOff   9 (3m11s ago)   25m     10.233.102.155   node1   <none>           <none>
trisla-decision-engine-8cbf6fdd4-tfk7q    1/1     Running            0               14h     10.233.102.146   node1   <none>           <none>
trisla-ml-nsmf-5fc74f4498-hqkq4           1/1     Running            0               12h     10.233.102.156   node1   <none>           <none>
trisla-ml-nsmf-f496b7d77-68v7l            0/1     CrashLoopBackOff   9 (3m11s ago)   25m     10.233.102.145   node1   <none>           <none>
trisla-nasp-adapter-5688bf5f8f-x4fm2      1/1     Running            0               9d      10.233.102.190   node1   <none>           <none>
trisla-nasp-adapter-6657dfdc7d-rfssm      0/1     ImagePullBackOff   0               14h     10.233.102.183   node1   <none>           <none>
trisla-portal-backend-7498b598f7-hm7gw    1/1     Running            0               38h     10.233.75.28     node2   <none>           <none>
trisla-portal-frontend-7dffd67779-mql7r   1/1     Running            0               41h     10.233.75.12     node2   <none>           <none>
trisla-sem-csmf-5dfc9887b-bbrh7           0/1     ImagePullBackOff   0               14h     10.233.102.161   node1   <none>           <none>
trisla-sem-csmf-95dfc79f4-zpscg           1/1     Running            0               26h     10.233.102.164   node1   <none>           <none>
trisla-sla-agent-layer-b8c7b6fdc-x6fbb    1/1     Running            0               26h     10.233.102.141   node1   <none>           <none>
trisla-sla-agent-layer-bc8555bcf-6dslh    0/1     ImagePullBackOff   0               14h     10.233.102.184   node1   <none>           <none>
trisla-ui-dashboard-64579b5946-vdkm8      0/1     ImagePullBackOff   0               14h     10.233.102.138   node1   <none>           <none>
trisla-ui-dashboard-85755bf748-t9zfs      1/1     Running            0               2d2h    10.233.102.149   node1   <none>           <none>
