NAME                                                     READY   STATUS    RESTARTS      AGE
alertmanager-monitoring-kube-prometheus-alertmanager-0   2/2     Running   0             29d
alertmanager-prometheus-kube-prometheus-alertmanager-0   2/2     Running   0             29d
monitoring-grafana-7484859bc9-xf669                      3/3     Running   0             29d
monitoring-kube-prometheus-operator-59986b9fc7-tjqdl     1/1     Running   4 (29d ago)   29d
monitoring-kube-state-metrics-66db6b8958-cb4kd           1/1     Running   0             29d
monitoring-prometheus-node-exporter-fkkbs                1/1     Running   0             84d
monitoring-prometheus-node-exporter-kg996                1/1     Running   2 (83d ago)   84d
prometheus-grafana-745999df4b-kttj6                      3/3     Running   0             29d
prometheus-kube-prometheus-operator-cc7788f6f-f8thp      1/1     Running   0             29d
prometheus-kube-state-metrics-5f676f8f8b-lctt5           1/1     Running   1 (29d ago)   29d
prometheus-monitoring-kube-prometheus-prometheus-0       2/2     Running   0             29d
prometheus-prometheus-kube-prometheus-prometheus-0       2/2     Running   0             29d
prometheus-prometheus-node-exporter-45qtq                0/1     Pending   0             84d
prometheus-prometheus-node-exporter-rrt5f                0/1     Pending   0             84d
