NAME                                      CPU(cores)   MEMORY(bytes)   
kafka-c948b8d64-jgmz5                     858m         5012Mi          
trisla-bc-nssmf-7c8ff9c4fc-kwmqd          3m           120Mi           
trisla-decision-engine-6957dc56fb-jsxxs   6m           58Mi            
trisla-ml-nsmf-6b7c887947-7lnb9           6m           172Mi           
trisla-nasp-adapter-5688bf5f8f-x4fm2      0m           0Mi             
trisla-portal-backend-7498b598f7-hm7gw    22m          59Mi            
trisla-portal-frontend-7dffd67779-mql7r   3m           50Mi            
trisla-sem-csmf-95dfc79f4-zpscg           4m           160Mi           
trisla-sla-agent-layer-b8c7b6fdc-x6fbb    4m           48Mi            
trisla-ui-dashboard-85755bf748-t9zfs      1m           10Mi            
