NAME                                      READY   STATUS             RESTARTS        AGE    IP               NODE    NOMINATED NODE   READINESS GATES
kafka-c948b8d64-jgmz5                     1/1     Running            0               17m    10.233.75.59     node2   <none>           <none>
registry-sanity                           0/1     Completed          0               21d    10.233.102.189   node1   <none>           <none>
registry-sanity-verify                    0/1     Completed          0               21d    10.233.75.15     node2   <none>           <none>
trisla-bc-nssmf-7b5c6fd7b7-zc4zl          1/1     Running            0               18d    10.233.102.138   node1   <none>           <none>
trisla-bc-nssmf-7d99b476b7-r75jl          0/1     ImagePullBackOff   0               118m   10.233.102.155   node1   <none>           <none>
trisla-besu-6448cb6bc6-mxb84              1/1     Running            0               21d    10.233.75.56     node2   <none>           <none>
trisla-decision-engine-7cc489b49c-kr7zr   1/1     Running            0               16m    10.233.102.178   node1   <none>           <none>
trisla-ml-nsmf-5f6fc9b8d9-hfrrs           1/1     Running            0               70m    10.233.102.158   node1   <none>           <none>
trisla-nasp-adapter-5688bf5f8f-x4fm2      1/1     Running            0               2d5h   10.233.102.190   node1   <none>           <none>
trisla-nasp-adapter-664894c59c-cvzgb      0/1     CrashLoopBackOff   21 (116s ago)   70m    10.233.102.168   node1   <none>           <none>
trisla-portal-backend-57669d9bdd-gl2ff    1/1     Running            0               144m   10.233.75.44     node2   <none>           <none>
trisla-portal-frontend-6dd98dc868-2nx7k   1/1     Running            0               21d    10.233.102.141   node1   <none>           <none>
trisla-sem-csmf-57f49c849c-xct44          1/1     Running            0               144m   10.233.102.156   node1   <none>           <none>
trisla-sla-agent-layer-6d944c889c-p5ccc   1/1     Running            0               70m    10.233.102.146   node1   <none>           <none>
trisla-ui-dashboard-85755bf748-5nr85      1/1     Running            0               70m    10.233.102.164   node1   <none>           <none>
